Kategorie,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
Abfall,4524205.0,16040358.0,9501113.0,9201349.0,11164494.329868458,12193211.98471662,13221929.63956478,14250647.294412944,15279928.321470771,16308645.976318931,17337363.63116709,18366081.286015257
Biomasse,2333303.0,4165503.0,6303475.0,8443037.0,9835275.55496552,11763344.29496323,13691413.034960942,15619481.774958657,17548606.41240434,19476675.152402055,21404743.89239977,23332812.632397484
Braunkohle,138432054.0,130478772.0,139425488.0,82127603.0,93599092.92649372,80478066.3744304,67357039.82236707,54236013.27030373,41107801.05200162,27986774.499938305,14865747.947874967,1744721.3958116286
Erdgas,52311880.0,63091306.0,30123232.0,57096199.0,46743835.74971477,45743163.91376296,44742492.077811144,43741820.24185933,42740600.39285387,41739928.556902066,40739256.720950246,39738584.88499843
Geothermie,0.0,11858.0,91532.0,0.0,36740.68217091588,42307.62666093897,47874.57115096208,53441.515640985184,59011.50884102471,64578.45333104782,70145.3978210709,75712.342311094
Industriegas,3039862.0,2915181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kernenergie,154612295.0,132970650.0,86765007.0,60914325.0,15863402.108342102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mineralöl,4313808.0,2644899.0,945779.0,650776.0,122691.15554643182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,1300000.0,11700000.0,37300000.0,48500000.0,67158218.44093138,83685571.7923236,100212925.14371583,116740278.49510805,133276682.97100815,149804036.3224004,166331389.6737926,182858743.02518484
Sonstiges,461587.0,487452.0,565783.0,519223.0,523479.248515937,539515.377366194,555551.5062164512,571587.6350667083,587632.5460247694,603668.6748750265,619704.8037252836,635740.9325755407
Steinkohle,113717052.0,100156100.0,106488506.0,35462565.0,39207538.02293734,18801719.017126642,0.0,0.0,0.0,0.0,0.0,0.0
Wasserkraft,22950026.0,23249649.0,21068270.0,15501666.0,16839291.925504707,15200625.574727535,13561959.223950362,11923292.873173185,10283729.114755936,8645062.763978763,7006396.413201587,5367730.062424412
Wind,27200000.0,39800000.0,79100000.0,129600000.0,142803836.3815616,172952587.16713873,203101337.95271584,233250088.738293,263415350.34029156,293564101.1258686,323712851.91144574,353861602.6970229
